comparison,workload,revision,round,warmup,wall_ms,peak_rss_bytes,source_bytes
unseeded-union,joins-8,1b916975,3,false,28.366,13631488,1453
unseeded-union,joins-8,1b916975,4,false,28.509,13778944,1453
unseeded-union,joins-8,16fed4e5,4,false,26.080,13369344,1453
unseeded-union,joins-8,16fed4e5,5,false,27.252,13877248,1453
unseeded-union,joins-8,1b916975,5,false,29.555,13697024,1453
unseeded-union,joins-16,1b916975,0,true,79.200,35176448,2235
unseeded-union,joins-16,16fed4e5,0,true,49.357,25280512,2235
unseeded-union,joins-16,16fed4e5,1,false,51.352,25182208,2235
unseeded-union,joins-16,1b916975,1,false,78.643,35405824,2235
unseeded-union,joins-16,1b916975,2,false,79.507,34881536,2235
unseeded-union,joins-16,16fed4e5,2,false,49.874,25165824,2235
unseeded-union,joins-16,16fed4e5,3,false,49.333,25182208,2235
unseeded-union,joins-16,1b916975,3,false,78.147,35160064,2235
unseeded-union,joins-16,1b916975,4,false,78.140,35045376,2235
unseeded-union,joins-16,16fed4e5,4,false,49.325,25198592,2235
unseeded-union,joins-16,16fed4e5,5,false,49.089,25280512,2235
unseeded-union,joins-16,1b916975,5,false,79.063,34914304,2235
unseeded-union,joins-32,1b916975,0,true,734.569,224739328,3803
unseeded-union,joins-32,16fed4e5,0,true,258.973,107937792,3803
unseeded-union,joins-32,16fed4e5,1,false,264.032,108150784,3803
unseeded-union,joins-32,1b916975,1,false,718.137,223985664,3803
unseeded-union,joins-32,1b916975,2,false,724.910,226525184,3803
unseeded-union,joins-32,16fed4e5,2,false,261.265,109461504,3803
unseeded-union,joins-32,16fed4e5,3,false,264.832,110706688,3803
unseeded-union,joins-32,1b916975,3,false,731.351,226000896,3803
unseeded-union,joins-32,1b916975,4,false,728.009,224215040,3803
unseeded-union,joins-32,16fed4e5,4,false,262.600,109199360,3803
unseeded-union,joins-32,16fed4e5,5,false,264.567,108986368,3803
unseeded-union,joins-32,1b916975,5,false,727.371,224165888,3803
final,dense-control,1b916975,0,true,49.762,16203776,5445
final,dense-control,f16eea6b,0,true,624.559,16662528,5445
final,dense-control,f16eea6b,1,false,37.618,16678912,5445
final,dense-control,1b916975,1,false,34.059,16252928,5445
final,dense-control,1b916975,2,false,33.812,16252928,5445
final,dense-control,f16eea6b,2,false,34.253,16400384,5445
final,dense-control,f16eea6b,3,false,34.946,17596416,5445
final,dense-control,1b916975,3,false,34.730,17432576,5445
final,dense-control,1b916975,4,false,33.583,16252928,5445
final,dense-control,f16eea6b,4,false,34.058,16367616,5445
final,dense-control,f16eea6b,5,false,34.370,16384000,5445
final,dense-control,1b916975,5,false,33.317,16367616,5445
final,grayscale,1b916975,0,true,25.065,12353536,3774
final,grayscale,f16eea6b,0,true,24.363,12484608,3774
final,grayscale,f16eea6b,1,false,24.405,12320768,3774
final,grayscale,1b916975,1,false,24.751,12402688,3774
final,grayscale,1b916975,2,false,24.517,12402688,3774
final,grayscale,f16eea6b,2,false,25.705,13058048,3774
final,grayscale,f16eea6b,3,false,24.500,12468224,3774
final,grayscale,1b916975,3,false,24.975,12353536,3774
final,grayscale,1b916975,4,false,24.560,12533760,3774
final,grayscale,f16eea6b,4,false,24.557,12484608,3774
final,grayscale,f16eea6b,5,false,24.277,12451840,3774
final,grayscale,1b916975,5,false,25.068,12402688,3774
final,telemetry,1b916975,0,true,27.436,13205504,4901
final,telemetry,f16eea6b,0,true,27.194,12976128,4901
final,telemetry,f16eea6b,1,false,27.999,13058048,4901
final,telemetry,1b916975,1,false,28.676,13172736,4901
final,telemetry,1b916975,2,false,28.704,13025280,4901
final,telemetry,f16eea6b,2,false,27.820,13041664,4901
final,telemetry,f16eea6b,3,false,27.336,13189120,4901
final,telemetry,1b916975,3,false,28.538,13156352,4901
final,telemetry,1b916975,4,false,26.975,13205504,4901
final,telemetry,f16eea6b,4,false,27.120,13107200,4901
final,telemetry,f16eea6b,5,false,27.204,13041664,4901
final,telemetry,1b916975,5,false,27.146,13205504,4901
final,prefix-expression,1b916975,0,true,25.340,11812864,4391
final,prefix-expression,f16eea6b,0,true,25.234,11829248,4391
final,prefix-expression,f16eea6b,1,false,24.296,11829248,4391
final,prefix-expression,1b916975,1,false,24.337,11665408,4391
final,prefix-expression,1b916975,2,false,24.038,11649024,4391
final,prefix-expression,f16eea6b,2,false,24.122,11747328,4391
final,prefix-expression,f16eea6b,3,false,23.920,11730944,4391
final,prefix-expression,1b916975,3,false,24.120,11665408,4391
final,prefix-expression,1b916975,4,false,23.837,11681792,4391
final,prefix-expression,f16eea6b,4,false,24.204,11780096,4391
final,prefix-expression,f16eea6b,5,false,23.953,11845632,4391
final,prefix-expression,1b916975,5,false,23.868,11714560,4391
final,wfgrep,1b916975,0,true,853.680,254918656,47412
final,wfgrep,f16eea6b,0,true,824.146,244858880,47412
final,wfgrep,f16eea6b,1,false,821.668,249102336,47412
final,wfgrep,1b916975,1,false,842.428,252968960,47412
final,wfgrep,1b916975,2,false,839.589,253902848,47412
final,wfgrep,f16eea6b,2,false,833.489,255918080,47412
final,wfgrep,f16eea6b,3,false,829.753,253575168,47412
final,wfgrep,1b916975,3,false,829.112,249249792,47412
final,wfgrep,1b916975,4,false,836.109,247988224,47412
final,wfgrep,f16eea6b,4,false,838.018,250789888,47412
final,wfgrep,f16eea6b,5,false,835.694,253820928,47412
final,wfgrep,1b916975,5,false,840.692,259457024,47412
final,raw-deflate,1b916975,0,true,690.627,114278400,74201
final,raw-deflate,f16eea6b,0,true,283.288,92274688,74201
final,raw-deflate,f16eea6b,1,false,279.112,90783744,74201
final,raw-deflate,1b916975,1,false,691.728,114622464,74201
