round	shape	depth	words	reps	impl	threads	seconds	exit	output
17	bal	8	192	11500	rs_cut	2	0.331615	0	41d434bad9dda9b2
17	bal	8	192	11500	rs_cut	4	0.221487	0	41d434bad9dda9b2
17	bal	8	192	11500	rs_cut	8	0.230230	0	41d434bad9dda9b2
17	bal	10	16	25000	wf_seq	0	0.633092	0	41a97eb56fcb8a7e
17	bal	10	16	25000	wf_par	1	0.659888	0	41a97eb56fcb8a7e
17	bal	10	16	25000	wf_par	2	0.368313	0	41a97eb56fcb8a7e
17	bal	10	16	25000	wf_par	4	0.252642	0	41a97eb56fcb8a7e
17	bal	10	16	25000	wf_par	8	0.331379	0	41a97eb56fcb8a7e
17	bal	10	16	25000	wf_par	default	0.344989	0	41a97eb56fcb8a7e
17	bal	10	16	25000	rs_seq	0	0.722889	0	41a97eb56fcb8a7e
17	bal	10	16	25000	rs_rayon	2	0.406924	0	41a97eb56fcb8a7e
17	bal	10	16	25000	rs_rayon	4	0.301135	0	41a97eb56fcb8a7e
17	bal	10	16	25000	rs_rayon	8	0.535005	0	41a97eb56fcb8a7e
17	bal	10	16	25000	rs_rayon	default	0.926629	0	41a97eb56fcb8a7e
17	bal	10	16	25000	rs_cut	2	0.360001	0	41a97eb56fcb8a7e
17	bal	10	16	25000	rs_cut	4	0.211773	0	41a97eb56fcb8a7e
17	bal	10	16	25000	rs_cut	8	0.324447	0	41a97eb56fcb8a7e
17	bal	10	64	8000	wf_seq	0	0.541576	0	41d7c539f8109d29
17	bal	10	64	8000	wf_par	1	0.618628	0	41d7c539f8109d29
17	bal	10	64	8000	wf_par	2	0.318007	0	41d7c539f8109d29
17	bal	10	64	8000	wf_par	4	0.169503	0	41d7c539f8109d29
17	bal	10	64	8000	wf_par	8	0.160389	0	41d7c539f8109d29
17	bal	10	64	8000	wf_par	default	0.161730	0	41d7c539f8109d29
17	bal	10	64	8000	rs_seq	0	0.517913	0	41d7c539f8109d29
17	bal	10	64	8000	rs_rayon	2	0.277310	0	41d7c539f8109d29
17	bal	10	64	8000	rs_rayon	4	0.168164	0	41d7c539f8109d29
17	bal	10	64	8000	rs_rayon	8	0.217243	0	41d7c539f8109d29
17	bal	10	64	8000	rs_rayon	default	0.326091	0	41d7c539f8109d29
17	bal	10	64	8000	rs_cut	2	0.294703	0	41d7c539f8109d29
17	bal	10	64	8000	rs_cut	4	0.166084	0	41d7c539f8109d29
17	bal	10	64	8000	rs_cut	8	0.201858	0	41d7c539f8109d29
17	bal	10	192	2850	wf_seq	0	0.646922	0	41f43bcaafe3d6ba
17	bal	10	192	2850	wf_par	1	0.777139	0	41f43bcaafe3d6ba
17	bal	10	192	2850	wf_par	2	0.399738	0	41f43bcaafe3d6ba
17	bal	10	192	2850	wf_par	4	0.207235	0	41f43bcaafe3d6ba
17	bal	10	192	2850	wf_par	8	0.155082	0	41f43bcaafe3d6ba
17	bal	10	192	2850	wf_par	default	0.142088	0	41f43bcaafe3d6ba
