comparison	fixture	source_bytes	pair	compiler	elapsed_us	verdict
c3-c4	control-64	3486	1	baseline	36288	accept
c3-c4	control-64	3486	2	baseline	37515	accept
c3-c4	control-64	3486	2	candidate	36783	accept
c3-c4	control-64	3486	3	candidate	36271	accept
c3-c4	control-64	3486	3	baseline	42106	accept
c3-c4	control-64	3486	4	baseline	38350	accept
c3-c4	control-64	3486	4	candidate	37599	accept
c3-c4	fixed-256	7779	0	baseline	25308	accept
c3-c4	fixed-256	7779	0	candidate	24853	accept
c3-c4	fixed-256	7779	1	candidate	26269	accept
c3-c4	fixed-256	7779	1	baseline	26177	accept
c3-c4	fixed-256	7779	2	baseline	25375	accept
c3-c4	fixed-256	7779	2	candidate	24847	accept
c3-c4	fixed-256	7779	3	candidate	24356	accept
