contract,element_bytes,path,count,run,cohort,min_elapsed_ns,quantization_margin,screening_margin,null_raw,null_window_c,null_window_normalized,null_tagged_c,null_tagged_normalized,ab_raw,ab_window_c,ab_window_normalized,ab_tagged_c,ab_tagged_normalized,a_wf_window_c,b_wf_window_c,a_wf_tagged_c,b_wf_tagged_c
retained,8,prefilled-lookup,4096,1,0,117000,0.0347800237812126,0.0579710144927537,1.01408450704225,1,0.997859154929577,1,1,1.07936507936508,1.00847457627119,1.06594399277326,1,1.0771349862259,1.06779661016949,1.15,1.05882352941176,1.14285714285714
retained,8,prefilled-lookup,4096,1,1,117000,0.0347800237812126,0.0579710144927537,1.03174603174603,1.03389830508475,1.0055945875618,1.03361344537815,0.997021038912679,1.07936507936508,1,1.07936507936508,1,1.07037037037037,1.06779661016949,1.15254237288136,1.05882352941176,1.14285714285714
retained,8,reuse-churn,16,0,0,346000,0.0116278092837636,0.0558531746031747,1.00859598853868,0.977653631284916,1.02859647556353,0.980926430517711,1.05585317460317,0.96398891966759,0.963788300835655,0.986404307546124,0.950549450549451,1.00304724805227,1.01108033240997,1.0028818443804,1.00274725274725,1.00578034682081
retained,8,reuse-churn,16,0,1,346000,0.0116278092837636,0.0558531746031747,1.0026455026455,1,1.01712732512444,1,1.00973990442491,0.985835694050991,1,0.994253154253154,1,0.985819459889445,1.00857142857143,1.0028818443804,1.02023121387283,1
retained,8,reuse-churn,16,1,0,346000,0.0116278092837636,0.0558531746031747,1.01436781609195,1,1.01144456590149,0.997118155619596,1.02023121387283,1,1.0028818443804,0.980406678151112,1,0.999991694972967,1.0028901734104,1.0028818443804,1.0028901734104,1.00576368876081
retained,8,reuse-churn,16,1,1,346000,0.0116278092837636,0.0558531746031747,1.04597701149425,1.03170028818444,1.01634413278249,1.03757225433526,0.99941611521993,0.98300283286119,1,0.980337078651685,1,0.98300283286119,1.02023121387283,1,1.02593659942363,1.0028901734104
retained,8,reuse-churn,256,0,0,347000,0.0115941060509874,0.0891068783999764,0.994318181818182,1,1,0.994301994301994,1.01714285714286,0.997142857142857,1,0.997142857142857,1,0.994285714285714,1.00573065902579,1,1.00862068965517,1
retained,8,reuse-churn,256,0,1,347000,0.0115941060509874,0.0891068783999764,0.997245179063361,1,0.983159795178285,1.00576368876081,0.977581189617041,0.97752808988764,1,0.974727149802003,1,0.97752808988764,1.02578796561605,1,1.02873563218391,1.00287356321839
retained,8,reuse-churn,256,1,0,347000,0.0115941060509874,0.0891068783999764,0.931937172774869,1.00285714285714,0.910893121600024,1,0.920744163090717,0.994475138121547,1.03448275862069,0.964088397790055,1.0316091954023,0.964003755059327,1.03724928366762,1,1.04022988505747,1.00278551532033
retained,8,reuse-churn,256,1,1,347000,0.0115941060509874,0.0891068783999764,1.00813008130081,1.03438395415473,1,1.0316091954023,1,0.983098591549296,0.997134670487106,0.983154139222524,1,0.983098591549296,1.01719197707736,1.00287356321839,1.02011494252874,1.00576368876081
retained,8,reuse-churn,4096,0,0,378000,0.0106382230227471,0.0823988359549434,0.93719806763285,1,0.93719806763285,1,0.93719806763285,0.98961038961039,0.997368421052632,0.984429183382063,0.992125984251969,0.9818385802679,1.01570680628272,1.00527704485488,1.01583113456464,1.00527704485488
retained,8,reuse-churn,4096,0,1,378000,0.0106382230227471,0.0823988359549434,1.02094240837696,1,1.01559716016557,1.0026455026455,1.01572316433743,0.981958762886598,0.997368421052632,0.98712696690179,1,0.979275033060934,1.01570680628272,1.00527704485488,1.02604166666667,1.00527704485488
retained,8,reuse-churn,4096,1,0,378000,0.0106382230227471,0.0823988359549434,0.929611650485437,1,0.917601164045057,1,0.934517252862669,0.981958762886598,1,0.984549683105296,1,0.981958762886598,1.02105263157895,1.00527704485488,1.02645502645503,1.00793650793651
retained,8,reuse-churn,4096,1,1,378000,0.0106382230227471,0.0823988359549434,1.03695150115473,1.03157894736842,1.0077789525289,1.03174603174603,1.00369162087912,0.962121212121212,0.997368421052632,0.962121212121212,0.997361477572559,0.964666506333173,1.04485488126649,1.00527704485488,1.04485488126649,1.00793650793651
retained,8,setup-cleanup,16,0,0,285000,0.0141341003769093,0.0337349397590362,0.966265060240964,0.969798657718121,0.996954196116391,0.972881355932203,1.00507614213198,0.880597014925373,1.00684931506849,0.863283082077052,1.00348432055749,0.880597014925373,1.37024221453287,1.18275862068966,1.37024221453287,1.2027972027972
retained,8,setup-cleanup,16,0,1,285000,0.0141341003769093,0.0337349397590362,1,0.993127147766323,1.00402227722772,1.00342465753425,0.999055622942298,0.88265306122449,1.04513888888889,0.865913621262459,1.01041666666667,0.865783333333333,1.37847222222222,1.19281045751634,1.37282229965157,1.19488817891374
retained,8,setup-cleanup,16,1,0,285000,0.0141341003769093,0.0337349397590362,0.99746192893401,1,0.986522631073256,1.00694444444444,0.980780639307649,0.879093198992443,1.00347222222222,0.873009509034018,0.993079584775087,0.880227003851594,1.3617747440273,1.19310344827586,1.37113402061856,1.20069204152249
retained,8,setup-cleanup,16,1,1,285000,0.0141341003769093,0.0337349397590362,1.00510204081633,1,0.992424242424242,1.00694444444444,0.985985985985986,0.868686868686869,1.00343642611684,0.868631029986962,1.00699300699301,0.865458381281166,1.36082474226804,1.18620689655172,1.37931034482759,1.19791666666667
retained,8,setup-cleanup,256,0,0,260000,0.0155036448472741,0.03,1.003003003003,1,0.998620812385995,1,1.00299401197605,0.827272727272727,1.00383141762452,0.827272727272727,1.01149425287356,0.817228139141564,1.26819923371648,1.04545454545455,1.27480916030534,1.03409090909091
retained,8,setup-cleanup,256,0,1,260000,0.0155036448472741,0.03,1.00903614457831,0.996197718631179,1.01204819277108,0.99618320610687,1.01290218344643,0.865269461077844,1.04562737642586,0.836291038154392,1.06106870229008,0.82952380952381,1.26996197718631,1.05090909090909,1.27480916030534,1.04642857142857
retained,8,setup-cleanup,256,1,0,260000,0.0155036448472741,0.03,0.988200589970501,0.992481203007519,0.995384342268773,1,0.984848484848485,0.825825825825826,0.99618320610687,0.838694981777404,1,0.816171538365338,1.24714828897338,1.04980842911877,1.27099236641221,1.04980842911877
