run,contract,cohort,element_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_bytes
0,normal,0,8,reuse-churn,256,whitefoot,6,128,1,122000,18406988724706390591,1,8208,8208
0,normal,0,8,reuse-churn,256,window-c,6,128,1,95000,18406988724706390591,1,8208,8208
0,normal,0,8,reuse-churn,256,tagged-c,6,128,1,95000,18406988724706390591,1,6160,6160
0,normal,0,8,reuse-churn,256,window-c,7,128,1,93000,10751263551176621245,1,8208,8208
0,normal,0,8,reuse-churn,256,tagged-c,7,128,1,94000,10751263551176621245,1,6160,6160
0,normal,0,8,reuse-churn,256,whitefoot,7,128,1,126000,10751263551176621245,1,8208,8208
0,normal,0,8,reuse-churn,256,tagged-c,8,128,1,95000,10028652882774234943,1,6160,6160
0,normal,0,8,reuse-churn,256,whitefoot,8,128,1,123000,10028652882774234943,1,8208,8208
0,normal,0,8,reuse-churn,256,window-c,8,128,1,92000,10028652882774234943,1,8208,8208
0,normal,0,8,reuse-churn,256,whitefoot,9,128,1,123000,16239156719499231685,1,8208,8208
0,normal,0,8,reuse-churn,256,window-c,9,128,1,92000,16239156719499231685,1,8208,8208
0,normal,0,8,reuse-churn,256,tagged-c,9,128,1,121000,16239156719499231685,1,6160,6160
0,normal,0,8,reuse-churn,256,window-c,10,128,1,92000,15516546051096845383,1,8208,8208
0,normal,0,8,reuse-churn,256,tagged-c,10,128,1,92000,15516546051096845383,1,6160,6160
0,normal,0,8,reuse-churn,256,whitefoot,10,128,1,133000,15516546051096845383,1,8208,8208
0,normal,0,8,reuse-churn,4096,whitefoot,0,8,1,162000,2811966720981082143,1,131088,131088
0,normal,0,8,reuse-churn,4096,window-c,0,8,1,104000,2811966720981082143,1,131088,131088
0,normal,0,8,reuse-churn,4096,tagged-c,0,8,1,103000,2811966720981082143,1,98320,98320
0,normal,0,8,reuse-churn,4096,window-c,1,8,1,107000,12513560919838572709,1,131088,131088
0,normal,0,8,reuse-churn,4096,tagged-c,1,8,1,106000,12513560919838572709,1,98320,98320
0,normal,0,8,reuse-churn,4096,whitefoot,1,8,1,134000,12513560919838572709,1,131088,131088
0,normal,0,8,reuse-churn,4096,tagged-c,2,8,1,103000,12832198132999086375,1,98320,98320
0,normal,0,8,reuse-churn,4096,whitefoot,2,8,1,134000,12832198132999086375,1,131088,131088
0,normal,0,8,reuse-churn,4096,window-c,2,8,1,103000,12832198132999086375,1,131088,131088
0,normal,0,8,reuse-churn,4096,whitefoot,3,8,1,135000,4406218155831427509,1,131088,131088
0,normal,0,8,reuse-churn,4096,window-c,3,8,1,103000,4406218155831427509,1,131088,131088
0,normal,0,8,reuse-churn,4096,tagged-c,3,8,1,103000,4406218155831427509,1,98320,98320
0,normal,0,8,reuse-churn,4096,window-c,4,8,1,106000,4724855368991941175,1,131088,131088
0,normal,0,8,reuse-churn,4096,tagged-c,4,8,1,103000,4724855368991941175,1,98320,98320
0,normal,0,8,reuse-churn,4096,whitefoot,4,8,1,142000,4724855368991941175,1,131088,131088
0,normal,0,8,reuse-churn,4096,tagged-c,5,8,1,103000,14426449567849431741,1,98320,98320
0,normal,0,8,reuse-churn,4096,whitefoot,5,8,1,139000,14426449567849431741,1,131088,131088
0,normal,0,8,reuse-churn,4096,window-c,5,8,1,106000,14426449567849431741,1,131088,131088
0,normal,0,8,reuse-churn,4096,whitefoot,6,8,1,149000,14745086781009945407,1,131088,131088
0,normal,0,8,reuse-churn,4096,window-c,6,8,1,122000,14745086781009945407,1,131088,131088
0,normal,0,8,reuse-churn,4096,tagged-c,6,8,1,107000,14745086781009945407,1,98320,98320
0,normal,0,8,reuse-churn,4096,window-c,7,8,1,108000,5680767008473482173,1,131088,131088
0,normal,0,8,reuse-churn,4096,tagged-c,7,8,1,109000,5680767008473482173,1,98320,98320
0,normal,0,8,reuse-churn,4096,whitefoot,7,8,1,143000,5680767008473482173,1,131088,131088
0,normal,0,8,reuse-churn,4096,tagged-c,8,8,1,117000,5999404221633995839,1,98320,98320
0,normal,0,8,reuse-churn,4096,whitefoot,8,8,1,146000,5999404221633995839,1,131088,131088
0,normal,0,8,reuse-churn,4096,window-c,8,8,1,106000,5999404221633995839,1,131088,131088
0,normal,0,8,reuse-churn,4096,whitefoot,9,8,1,141000,15700998420491486405,1,131088,131088
0,normal,0,8,reuse-churn,4096,window-c,9,8,1,108000,15700998420491486405,1,131088,131088
0,normal,0,8,reuse-churn,4096,tagged-c,9,8,1,106000,15700998420491486405,1,98320,98320
0,normal,0,8,reuse-churn,4096,window-c,10,8,1,106000,16019635633652000071,1,131088,131088
0,normal,0,8,reuse-churn,4096,tagged-c,10,8,1,106000,16019635633652000071,1,98320,98320
0,normal,0,8,reuse-churn,4096,whitefoot,10,8,1,137000,16019635633652000071,1,131088,131088
0,normal,0,8,setup-cleanup,16,whitefoot,0,0,2048,192000,15882812515499851776,2048,1081344,528
0,normal,0,8,setup-cleanup,16,window-c,0,0,2048,108000,15882812515499851776,2048,1081344,528
0,normal,0,8,setup-cleanup,16,tagged-c,0,0,2048,112000,15882812515499851776,2048,819200,400
0,normal,0,8,setup-cleanup,16,window-c,1,0,2048,108000,2254987063652274176,2048,1081344,528
0,normal,0,8,setup-cleanup,16,tagged-c,1,0,2048,109000,2254987063652274176,2048,819200,400
0,normal,0,8,setup-cleanup,16,whitefoot,1,0,2048,190000,2254987063652274176,2048,1081344,528
0,normal,0,8,setup-cleanup,16,tagged-c,2,0,2048,109000,6439906954869563392,2048,819200,400
0,normal,0,8,setup-cleanup,16,whitefoot,2,0,2048,190000,6439906954869563392,2048,1081344,528
0,normal,0,8,setup-cleanup,16,window-c,2,0,2048,108000,6439906954869563392,2048,1081344,528
0,normal,0,8,setup-cleanup,16,whitefoot,3,0,2048,199000,16970651802805104640,2048,1081344,528
0,normal,0,8,setup-cleanup,16,window-c,3,0,2048,115000,16970651802805104640,2048,1081344,528
0,normal,0,8,setup-cleanup,16,tagged-c,3,0,2048,113000,16970651802805104640,2048,819200,400
0,normal,0,8,setup-cleanup,16,window-c,4,0,2048,108000,6829781760132481024,2048,1081344,528
0,normal,0,8,setup-cleanup,16,tagged-c,4,0,2048,109000,6829781760132481024,2048,819200,400
0,normal,0,8,setup-cleanup,16,whitefoot,4,0,2048,190000,6829781760132481024,2048,1081344,528
0,normal,0,8,setup-cleanup,16,tagged-c,5,0,2048,109000,6534584266561196032,2048,819200,400
0,normal,0,8,setup-cleanup,16,whitefoot,5,0,2048,190000,6534584266561196032,2048,1081344,528
0,normal,0,8,setup-cleanup,16,window-c,5,0,2048,108000,6534584266561196032,2048,1081344,528
0,normal,0,8,setup-cleanup,16,whitefoot,6,0,2048,191000,6110491724809084928,2048,1081344,528
0,normal,0,8,setup-cleanup,16,window-c,6,0,2048,108000,6110491724809084928,2048,1081344,528
0,normal,0,8,setup-cleanup,16,tagged-c,6,0,2048,110000,6110491724809084928,2048,819200,400
0,normal,0,8,setup-cleanup,16,window-c,7,0,2048,109000,12716662017020047360,2048,1081344,528
0,normal,0,8,setup-cleanup,16,tagged-c,7,0,2048,123000,12716662017020047360,2048,819200,400
0,normal,0,8,setup-cleanup,16,whitefoot,7,0,2048,199000,12716662017020047360,2048,1081344,528
0,normal,0,8,setup-cleanup,16,tagged-c,8,0,2048,113000,3135519409511579648,2048,819200,400
0,normal,0,8,setup-cleanup,16,whitefoot,8,0,2048,191000,3135519409511579648,2048,1081344,528
0,normal,0,8,setup-cleanup,16,window-c,8,0,2048,109000,3135519409511579648,2048,1081344,528
0,normal,0,8,setup-cleanup,16,whitefoot,9,0,2048,190000,17563064237161500672,2048,1081344,528
0,normal,0,8,setup-cleanup,16,window-c,9,0,2048,108000,17563064237161500672,2048,1081344,528
0,normal,0,8,setup-cleanup,16,tagged-c,9,0,2048,109000,17563064237161500672,2048,819200,400
0,normal,0,8,setup-cleanup,16,window-c,10,0,2048,115000,854469065091702784,2048,1081344,528
0,normal,0,8,setup-cleanup,16,tagged-c,10,0,2048,117000,854469065091702784,2048,819200,400
0,normal,0,8,setup-cleanup,16,whitefoot,10,0,2048,192000,854469065091702784,2048,1081344,528
0,normal,0,8,setup-cleanup,256,whitefoot,0,0,128,112000,18431299248424888576,128,1050624,8208
0,normal,0,8,setup-cleanup,256,window-c,0,0,128,105000,18431299248424888576,128,1050624,8208
0,normal,0,8,setup-cleanup,256,tagged-c,0,0,128,106000,18431299248424888576,128,788480,6160
0,normal,0,8,setup-cleanup,256,window-c,1,0,128,96000,7906564697384872704,128,1050624,8208
0,normal,0,8,setup-cleanup,256,tagged-c,1,0,128,98000,7906564697384872704,128,788480,6160
0,normal,0,8,setup-cleanup,256,whitefoot,1,0,128,117000,7906564697384872704,128,1050624,8208
0,normal,0,8,setup-cleanup,256,tagged-c,2,0,128,99000,11111186250902449408,128,788480,6160
0,normal,0,8,setup-cleanup,256,whitefoot,2,0,128,112000,11111186250902449408,128,1050624,8208
0,normal,0,8,setup-cleanup,256,window-c,2,0,128,96000,11111186250902449408,128,1050624,8208
0,normal,0,8,setup-cleanup,256,whitefoot,3,0,128,111000,14414537459653766912,128,1050624,8208
0,normal,0,8,setup-cleanup,256,window-c,3,0,128,93000,14414537459653766912,128,1050624,8208
0,normal,0,8,setup-cleanup,256,tagged-c,3,0,128,93000,14414537459653766912,128,788480,6160
0,normal,0,8,setup-cleanup,256,window-c,4,0,128,94000,2804191254977392896,128,1050624,8208
0,normal,0,8,setup-cleanup,256,tagged-c,4,0,128,93000,2804191254977392896,128,788480,6160
