tier,payload,capacity,load,workload,variant,phase,rep,ops,builds,ns_per_op,checksum,minor_faults,major_faults,invol_cs,table_bytes,entry_bytes,query_bytes,seconds
L1,8,512,0.500,mix,d_folded,measure,4,1048576,0,1.752853394,2194282138518490900,0,0,0,8704,0,4096,0.001838000
L1,8,512,0.500,mix,e_proved,measure,4,1048576,0,1.737594604,2194282138518490900,0,0,1,12800,0,4096,0.001822000
L1,8,512,0.500,mix,a_raw,measure,4,1048576,0,1.732826233,2194282138518490900,0,0,0,8704,0,4096,0.001817000
L1,8,512,0.500,mix,b_tag,measure,5,1048576,0,1.729011536,15687876307765262824,0,0,0,12800,0,4096,0.001813000
L1,8,512,0.500,mix,a_raw,measure,5,1048576,0,1.746177673,15687876307765262824,0,0,0,8704,0,4096,0.001831000
L1,8,512,0.500,mix,e_proved,measure,5,1048576,0,1.723289490,15687876307765262824,0,0,0,12800,0,4096,0.001807000
L1,8,512,0.500,mix,d_folded,measure,5,1048576,0,1.843452454,15687876307765262824,0,0,0,8704,0,4096,0.001933000
L1,8,512,0.500,mix,c_box,measure,5,1048576,0,1.718521118,15687876307765262824,0,0,0,4608,4096,4096,0.001802000
L1,8,512,0.500,mix,d_folded,measure,6,1048576,0,1.783370972,10282278041739299543,0,0,0,8704,0,4096,0.001870000
L1,8,512,0.500,mix,e_proved,measure,6,1048576,0,1.778602600,10282278041739299543,0,0,0,12800,0,4096,0.001865000
L1,8,512,0.500,mix,a_raw,measure,6,1048576,0,1.745223999,10282278041739299543,0,0,0,8704,0,4096,0.001830000
L1,8,512,0.500,mix,b_tag,measure,6,1048576,0,1.719474792,10282278041739299543,0,0,0,12800,0,4096,0.001803000
L1,8,512,0.500,mix,c_box,measure,6,1048576,0,1.665115356,10282278041739299543,0,0,0,4608,4096,4096,0.001746000
L1,8,512,0.500,mix,d_folded,measure,7,1048576,0,1.729965210,828964424290456953,0,0,0,8704,0,4096,0.001814000
L1,8,512,0.500,mix,c_box,measure,7,1048576,0,1.679420471,828964424290456953,0,0,0,4608,4096,4096,0.001761000
L1,8,512,0.500,mix,b_tag,measure,7,1048576,0,1.723289490,828964424290456953,0,0,0,12800,0,4096,0.001807000
L1,8,512,0.500,mix,a_raw,measure,7,1048576,0,1.732826233,828964424290456953,0,0,0,8704,0,4096,0.001817000
L1,8,512,0.500,mix,e_proved,measure,7,1048576,0,1.724243164,828964424290456953,0,0,0,12800,0,4096,0.001808000
L1,8,512,0.500,mix,a_raw,measure,8,1048576,0,1.773834229,4089074471490317165,0,0,0,8704,0,4096,0.001860000
L1,8,512,0.500,mix,b_tag,measure,8,1048576,0,1.716613770,4089074471490317165,0,0,0,12800,0,4096,0.001800000
