tier,payload,capacity,load,workload,variant,phase,rep,ops,builds,ns_per_op,checksum,minor_faults,major_faults,invol_cs,table_bytes,entry_bytes,query_bytes,seconds
L1,8,512,0.500,miss,c_box,measure,11,1048576,0,1.804590225,2692132535155015209,0,0,0,4608,4096,4096,0.001892250
L1,8,512,0.500,miss,b_tag,measure,11,1048576,0,1.813450813,2692132535155015209,0,0,0,12800,0,4096,0.001901541
L1,8,512,0.500,miss,a_raw,measure,11,1048576,0,1.808484077,2692132535155015209,0,0,0,8704,0,4096,0.001896333
L1,8,512,0.500,miss,e_proved,measure,11,1048576,0,1.594027519,2692132535155015209,0,0,0,12800,0,4096,0.001671459
L1,8,512,0.500,miss,d_folded,measure,11,1048576,0,1.596411705,2692132535155015209,0,0,0,8704,0,4096,0.001673959
L1,8,512,0.500,mix,a_raw,warmup,0,1048576,0,1.732985497,6507562668616701413,0,0,0,8704,0,4096,0.001817167
L1,8,512,0.500,mix,b_tag,warmup,0,1048576,0,1.727223396,6507562668616701413,0,0,0,12800,0,4096,0.001811125
L1,8,512,0.500,mix,c_box,warmup,0,1048576,0,1.664559364,6507562668616701413,0,0,0,4608,4096,4096,0.001745417
L1,8,512,0.500,mix,d_folded,warmup,0,1048576,0,1.733899117,6507562668616701413,0,0,0,8704,0,4096,0.001818125
L1,8,512,0.500,mix,e_proved,warmup,0,1048576,0,1.719792366,6507562668616701413,0,0,0,12800,0,4096,0.001803333
L1,8,512,0.500,mix,a_raw,warmup,1,1048576,0,1.732507706,15496797596279489674,0,0,0,8704,0,4096,0.001816666
L1,8,512,0.500,mix,e_proved,warmup,1,1048576,0,1.714229584,15496797596279489674,0,0,0,12800,0,4096,0.001797500
L1,8,512,0.500,mix,d_folded,warmup,1,1048576,0,1.746734619,15496797596279489674,0,0,0,8704,0,4096,0.001831584
L1,8,512,0.500,mix,c_box,warmup,1,1048576,0,1.660188675,15496797596279489674,0,0,0,4608,4096,4096,0.001740834
L1,8,512,0.500,mix,b_tag,warmup,1,1048576,0,1.733502388,15496797596279489674,0,0,0,12800,0,4096,0.001817709
L1,8,512,0.500,mix,c_box,measure,0,1048576,0,1.668016434,1337227365413222640,0,0,0,4608,4096,4096,0.001749042
L1,8,512,0.500,mix,d_folded,measure,0,1048576,0,1.730005264,1337227365413222640,0,0,0,8704,0,4096,0.001814042
L1,8,512,0.500,mix,e_proved,measure,0,1048576,0,1.730561256,1337227365413222640,0,0,1,12800,0,4096,0.001814625
L1,8,512,0.500,mix,a_raw,measure,0,1048576,0,1.733263969,1337227365413222640,0,0,0,8704,0,4096,0.001817459
L1,8,512,0.500,mix,b_tag,measure,0,1048576,0,1.718084335,1337227365413222640,0,0,0,12800,0,4096,0.001801542
L1,8,512,0.500,mix,c_box,measure,1,1048576,0,1.659830093,13509082499969513748,0,0,0,4608,4096,4096,0.001740458
L1,8,512,0.500,mix,b_tag,measure,1,1048576,0,1.721222878,13509082499969513748,0,0,0,12800,0,4096,0.001804833
L1,8,512,0.500,mix,a_raw,measure,1,1048576,0,1.745581627,13509082499969513748,0,0,0,8704,0,4096,0.001830375
L1,8,512,0.500,mix,e_proved,measure,1,1048576,0,1.739223480,13509082499969513748,0,0,0,12800,0,4096,0.001823708
L1,8,512,0.500,mix,d_folded,measure,1,1048576,0,1.728495598,13509082499969513748,0,0,0,8704,0,4096,0.001812459
L1,8,512,0.500,mix,e_proved,measure,2,1048576,0,1.723885536,13430568499744183772,0,0,0,12800,0,4096,0.001807625
L1,8,512,0.500,mix,a_raw,measure,2,1048576,0,1.733462334,13430568499744183772,0,0,0,8704,0,4096,0.001817667
L1,8,512,0.500,mix,b_tag,measure,2,1048576,0,1.718321800,13430568499744183772,0,0,0,12800,0,4096,0.001801791
L1,8,512,0.500,mix,c_box,measure,2,1048576,0,1.662810326,13430568499744183772,0,0,0,4608,4096,4096,0.001743583
L1,8,512,0.500,mix,d_folded,measure,2,1048576,0,1.734375954,13430568499744183772,0,0,0,8704,0,4096,0.001818625
L1,8,512,0.500,mix,e_proved,measure,3,1048576,0,1.716971397,15972737695790064492,0,0,0,12800,0,4096,0.001800375
L1,8,512,0.500,mix,d_folded,measure,3,1048576,0,1.733303070,15972737695790064492,0,0,0,8704,0,4096,0.001817500
L1,8,512,0.500,mix,c_box,measure,3,1048576,0,1.662731171,15972737695790064492,0,0,0,4608,4096,4096,0.001743500
L1,8,512,0.500,mix,b_tag,measure,3,1048576,0,1.728693962,15972737695790064492,0,0,0,12800,0,4096,0.001812667
L1,8,512,0.500,mix,a_raw,measure,3,1048576,0,1.740017891,15972737695790064492,0,0,0,8704,0,4096,0.001824541
L1,8,512,0.500,mix,b_tag,measure,4,1048576,0,1.715579987,2194282138518490900,0,0,0,12800,0,4096,0.001798916
L1,8,512,0.500,mix,c_box,measure,4,1048576,0,1.667181969,2194282138518490900,0,0,0,4608,4096,4096,0.001748167
L1,8,512,0.500,mix,d_folded,measure,4,1048576,0,1.729647636,2194282138518490900,0,0,0,8704,0,4096,0.001813667
L1,8,512,0.500,mix,e_proved,measure,4,1048576,0,1.716653824,2194282138518490900,0,0,0,12800,0,4096,0.001800042
L1,8,512,0.500,mix,a_raw,measure,4,1048576,0,1.736044884,2194282138518490900,0,0,0,8704,0,4096,0.001820375
L1,8,512,0.500,mix,b_tag,measure,5,1048576,0,1.720507622,15687876307765262824,0,0,0,12800,0,4096,0.001804083
L1,8,512,0.500,mix,a_raw,measure,5,1048576,0,1.853267670,15687876307765262824,0,0,0,8704,0,4096,0.001943292
L1,8,512,0.500,mix,e_proved,measure,5,1048576,0,1.875042915,15687876307765262824,0,0,1,12800,0,4096,0.001966125
