target	suite	case	workers	variant/research	pairs	wall_median	wall_min	wall_max	cpu_median	rss_median	switches_delta_median
linux-arm64	mandelbrot	4-4096	1	replica	5	0.9989	0.9980	1.0010	0.9992	1.0000	1
linux-arm64	mandelbrot	4-65536	1	old	5	0.9998	0.9994	1.0002	0.9998	1.0000	-2
linux-arm64	mandelbrot	4-65536	1	research-off	5	1.0002	0.9997	1.0007	0.9999	0.9989	-1
linux-arm64	mandelbrot	4-65536	1	replica	5	1.0001	0.9997	1.0005	1.0000	1.0000	2
linux-arm64	mandelbrot	5-4096	1	old	5	1.0028	0.9236	1.0695	1.0090	1.0000	0
linux-arm64	mandelbrot	5-4096	1	research-off	5	0.9951	0.9665	1.0409	0.9992	1.0000	0
linux-arm64	mandelbrot	5-4096	1	replica	5	0.9935	0.9427	1.0219	0.9938	1.0000	0
linux-arm64	mandelbrot	5-65536	1	old	5	1.0141	0.9855	1.1003	1.0099	1.0000	1
linux-arm64	mandelbrot	5-65536	1	research-off	5	1.0013	0.9938	1.0181	1.0011	1.0000	0
linux-arm64	mandelbrot	5-65536	1	replica	5	1.0096	1.0005	1.0168	1.0061	1.0000	0
linux-arm64	mandelbrot	6-4096	1	old	5	1.0025	0.9936	1.0092	0.9996	1.0000	1
linux-arm64	mandelbrot	6-4096	1	research-off	5	0.9972	0.9901	1.0026	0.9993	1.0000	0
linux-arm64	mandelbrot	6-4096	1	replica	5	0.9977	0.9937	1.0062	1.0004	1.0000	0
linux-arm64	mandelbrot	6-65536	1	old	5	0.9998	0.9950	1.0027	0.9996	0.9979	0
linux-arm64	mandelbrot	6-65536	1	research-off	5	0.9978	0.9941	1.0014	0.9992	1.0000	-3
linux-arm64	mandelbrot	6-65536	1	replica	5	0.9981	0.9946	1.0003	0.9994	1.0000	0
linux-arm64	fir	4096-16	2	old	5	1.0128	1.0015	1.0373	1.0071	1.0519	7
linux-arm64	fir	4096-16	2	research-off	5	1.0195	0.9778	1.0274	1.0049	1.0519	-3
linux-arm64	fir	4096-16	2	replica	5	0.9990	0.9839	1.0066	0.9976	1.0165	-8
linux-arm64	fir	4096-64	2	old	5	1.0178	0.9967	1.0396	1.0179	1.0000	3
linux-arm64	fir	4096-64	2	research-off	5	1.0011	0.9840	1.0157	1.0040	0.9984	3
linux-arm64	fir	4096-64	2	replica	5	0.9942	0.9679	1.0181	0.9941	1.0000	-1
linux-arm64	fir	4096-1024	2	old	5	1.0272	0.9981	1.0672	1.0287	0.9550	4
linux-arm64	fir	4096-1024	2	research-off	5	1.0071	0.9959	1.0341	1.0082	0.9969	1
