trial,contract,element_bytes,path,capacity,count,cohort,min_elapsed_ns,quantization_margin,screening_margin,null_raw,null_c,null_normalized,ab_raw,ab_c,ab_normalized,a_wf_c,b_wf_c,null_staged,ab_staged,a_wf_staged,b_wf_staged
replay,normal,8,setup-cleanup,4096,3584,1,128000,0.031744063488127,0.031744063488127,1,0.992700729927007,1.00769230769231,1.04615384615385,1.03571428571429,1.00163666121113,0.956521739130435,0.950354609929078,,,,
replay,normal,8,replace,64,56,0,39000,0.10803324099723,0.10803324099723,1,1,1,1,1,0.997341839447103,1.2280701754386,1.24561403508772,,,,
replay,normal,8,replace,64,56,1,39000,0.10803324099723,0.10803324099723,1.03389830508475,1.01818181818182,1.01973684210526,1.09090909090909,1.075,1.01824534161491,1.22033898305085,1.24193548387097,,,,
replay,normal,8,churn,64,56,0,184000,0.0219773657021709,0.03,1.01084010840108,1.01210653753027,0.990701453462129,1.0184331797235,1.00534759358289,1.02283219590526,0.915094339622642,0.983009708737864,,,,
replay,normal,8,churn,64,56,1,184000,0.0219773657021709,0.03,1.00277008310249,1,1.01206554121152,1.11602209944751,1.05502392344498,1.05781686523597,0.907142857142857,1.0091533180778,,,,
replay,normal,8,hit,64,56,0,31000,0.137777777777778,0.137777777777778,1,1,1,1.02857142857143,1,1.04395085066163,0.978723404255319,1.06382978723404,,,,
replay,normal,8,hit,64,56,1,31000,0.137777777777778,0.137777777777778,0.979166666666667,0.978723404255319,1,1.10869565217391,1.08,1.03235294117647,1,1,,,,
replay,normal,8,edit-first-word,64,56,0,31000,0.137777777777778,0.137777777777778,0.980769230769231,0.979591836734694,1.00509337860781,1,1,1,1.14893617021277,1.14893617021277,,,,
replay,normal,8,edit-first-word,64,56,1,31000,0.137777777777778,0.137777777777778,1,1,1,1.07272727272727,1.09375,0.972766884531591,1.14705882352941,1.11764705882353,,,,
replay,normal,256,grow,4096,3584,0,506000,0.00793647681599841,0.03,0.998847926267281,1,1.0003872647195,0.717647058823529,1,0.71677006093532,1.66081871345029,1.19056974459725,0.998675496688742,0.996010638297872,1.12234042553191,0.811497326203209
replay,normal,256,grow,4096,3584,1,506000,0.00793647681599841,0.03,0.998833138856476,0.99803536345776,1.00199010375677,0.710280373831776,0.99609375,0.711675816609441,1.67843137254902,1.19449901768173,0.994722955145119,1.00531914893617,1.1439894319683,0.805039787798408
replay,normal,256,rehash,4096,3584,0,949000,0.00422386013637444,0.03,0.995238095238095,1,0.994255629201335,0.890559732664996,1.00098522167488,0.887271551285941,1.2564870259481,1.11122047244094,0.999138673557278,0.99912739965096,1.04610226320201,0.931438127090301
replay,normal,256,rehash,4096,3584,1,949000,0.00422386013637444,0.03,0.976892430278885,0.974212034383954,0.994624207656442,0.898456539398863,1.00402010050251,0.896534301728902,1.24536082474227,1.1158221302999,0.966319165998396,1.00261096605744,1.04374453193351,0.929371231696813
replay,normal,256,setup-cleanup,4096,3584,0,315000,0.0127794231003286,0.03,0.99792531120332,0.99685534591195,1.0104821802935,0.799204771371769,0.972222222222222,0.829458579751773,1.53560371517028,1.26813880126183,,,,
replay,normal,256,setup-cleanup,4096,3584,1,315000,0.0127794231003286,0.03,0.973737373737374,0.969512195121951,0.999379220351437,0.806387225548902,0.952095808383233,0.851011388747238,1.48916408668731,1.27444794952681,,,,
replay,normal,256,replace,64,56,0,247000,0.0163262608235837,0.03,1.00187617260788,1,1.00187617260788,1.09262759924386,1.012,1.07544057772891,2.09055118110236,2.25868725868726,,,,
replay,normal,256,replace,64,56,1,247000,0.0163262608235837,0.03,0.99812734082397,1,0.998109640831758,1.08971962616822,1,1.09039548022599,2.07751937984496,2.28625954198473,,,,
replay,normal,256,churn,64,56,0,445000,0.00902929956984,0.03,1.00469483568075,1.00157232704403,1.00248671516277,0.989247311827957,1,0.995996081029806,1.28979591836735,1.29984301412873,,,,
replay,normal,256,churn,64,56,1,445000,0.00902929956984,0.03,0.995198079231693,1.0022271714922,0.994973290390288,0.997557997557998,1.0078125,0.993135199572491,1.30153846153846,1.29264475743349,,,,
replay,normal,256,hit,64,56,0,32000,0.133194588969823,0.133194588969823,1,1,1,0.947368421052632,0.979591836734694,0.97119341563786,1.04166666666667,0.979591836734694,,,,
replay,normal,256,hit,64,56,1,32000,0.133194588969823,0.133194588969823,1,1,1,1.02631578947368,1.0625,0.960498960498961,1.05714285714286,1.02631578947368,,,,
