cohort,contract,path,variant,sample,calls,rounds,elapsed_ns,checksum,requests,peak_bytes
0,retained,growth,legacy-c,11,64,512,12678000,14360851013316879328,262144,768
0,retained,growth,whitefoot,11,64,512,16325000,14360851013316879328,262144,768
0,retained,growth,matched-c,11,64,512,10754000,14360851013316879328,262144,768
0,retained,growth,whitefoot,12,64,512,16307000,368915743245345824,262144,768
0,retained,growth,matched-c,12,64,512,10762000,368915743245345824,262144,768
0,retained,growth,legacy-c,12,64,512,13774000,368915743245345824,262144,768
0,retained,growth,matched-c,13,64,512,10695000,4823724546883363936,262144,768
0,retained,growth,legacy-c,13,64,512,13157000,4823724546883363936,262144,768
0,retained,growth,whitefoot,13,64,512,16327000,4823724546883363936,262144,768
0,retained,growth,legacy-c,14,64,512,12964000,9278533350521382048,262144,768
0,retained,growth,whitefoot,14,64,512,16300000,9278533350521382048,262144,768
0,retained,growth,matched-c,14,64,512,10950000,9278533350521382048,262144,768
1,retained,reserved,whitefoot,0,64,512,12007000,2251442320717783328,98304,768
1,retained,reserved,matched-c,0,64,512,7533000,2251442320717783328,98304,768
1,retained,reserved,legacy-c,0,64,512,9041000,2251442320717783328,98304,768
1,retained,reserved,matched-c,1,64,512,7390000,6706251124355801440,98304,768
1,retained,reserved,legacy-c,1,64,512,8899000,6706251124355801440,98304,768
1,retained,reserved,whitefoot,1,64,512,11714000,6706251124355801440,98304,768
1,retained,reserved,legacy-c,2,64,512,8918000,11161059927993819552,98304,768
1,retained,reserved,whitefoot,2,64,512,11593000,11161059927993819552,98304,768
1,retained,reserved,matched-c,2,64,512,7190000,11161059927993819552,98304,768
1,retained,reserved,whitefoot,3,64,512,11657000,15615868731631837664,98304,768
1,retained,reserved,matched-c,3,64,512,7272000,15615868731631837664,98304,768
1,retained,reserved,legacy-c,3,64,512,8735000,15615868731631837664,98304,768
1,retained,reserved,matched-c,4,64,512,7268000,1623933461560304160,98304,768
1,retained,reserved,legacy-c,4,64,512,8829000,1623933461560304160,98304,768
1,retained,reserved,whitefoot,4,64,512,11532000,1623933461560304160,98304,768
1,retained,reserved,legacy-c,5,64,512,8654000,6078742265198322272,98304,768
1,retained,reserved,whitefoot,5,64,512,11735000,6078742265198322272,98304,768
1,retained,reserved,matched-c,5,64,512,7282000,6078742265198322272,98304,768
1,retained,reserved,whitefoot,6,64,512,11510000,10533551068836340384,98304,768
1,retained,reserved,matched-c,6,64,512,7248000,10533551068836340384,98304,768
1,retained,reserved,legacy-c,6,64,512,8830000,10533551068836340384,98304,768
1,retained,reserved,matched-c,7,64,512,7282000,14988359872474358496,98304,768
1,retained,reserved,legacy-c,7,64,512,8748000,14988359872474358496,98304,768
1,retained,reserved,whitefoot,7,64,512,11610000,14988359872474358496,98304,768
1,retained,reserved,legacy-c,8,64,512,8748000,996424602402824992,98304,768
1,retained,reserved,whitefoot,8,64,512,11571000,996424602402824992,98304,768
1,retained,reserved,matched-c,8,64,512,7242000,996424602402824992,98304,768
1,retained,reserved,whitefoot,9,64,512,11684000,5451233406040843104,98304,768
1,retained,reserved,matched-c,9,64,512,7292000,5451233406040843104,98304,768
1,retained,reserved,legacy-c,9,64,512,8801000,5451233406040843104,98304,768
1,retained,reserved,matched-c,10,64,512,7202000,9906042209678861216,98304,768
1,retained,reserved,legacy-c,10,64,512,8902000,9906042209678861216,98304,768
1,retained,reserved,whitefoot,10,64,512,11638000,9906042209678861216,98304,768
1,retained,reserved,legacy-c,11,64,512,8761000,14360851013316879328,98304,768
1,retained,reserved,whitefoot,11,64,512,11588000,14360851013316879328,98304,768
1,retained,reserved,matched-c,11,64,512,7331000,14360851013316879328,98304,768
1,retained,reserved,whitefoot,12,64,512,11703000,368915743245345824,98304,768
1,retained,reserved,matched-c,12,64,512,7185000,368915743245345824,98304,768
1,retained,reserved,legacy-c,12,64,512,8840000,368915743245345824,98304,768
1,retained,reserved,matched-c,13,64,512,7390000,4823724546883363936,98304,768
1,retained,reserved,legacy-c,13,64,512,8828000,4823724546883363936,98304,768
1,retained,reserved,whitefoot,13,64,512,11699000,4823724546883363936,98304,768
1,retained,reserved,legacy-c,14,64,512,9133000,9278533350521382048,98304,768
1,retained,reserved,whitefoot,14,64,512,11770000,9278533350521382048,98304,768
1,retained,reserved,matched-c,14,64,512,7266000,9278533350521382048,98304,768
1,retained,growth,whitefoot,0,64,512,17252000,2251442320717783328,262144,768
1,retained,growth,matched-c,0,64,512,11200000,2251442320717783328,262144,768
1,retained,growth,legacy-c,0,64,512,13785000,2251442320717783328,262144,768
1,retained,growth,matched-c,1,64,512,11465000,6706251124355801440,262144,768
1,retained,growth,legacy-c,1,64,512,13910000,6706251124355801440,262144,768
1,retained,growth,whitefoot,1,64,512,16381000,6706251124355801440,262144,768
1,retained,growth,legacy-c,2,64,512,13739000,11161059927993819552,262144,768
1,retained,growth,whitefoot,2,64,512,16347000,11161059927993819552,262144,768
1,retained,growth,matched-c,2,64,512,11388000,11161059927993819552,262144,768
1,retained,growth,whitefoot,3,64,512,16340000,15615868731631837664,262144,768
1,retained,growth,matched-c,3,64,512,11558000,15615868731631837664,262144,768
1,retained,growth,legacy-c,3,64,512,13242000,15615868731631837664,262144,768
1,retained,growth,matched-c,4,64,512,11241000,1623933461560304160,262144,768
1,retained,growth,legacy-c,4,64,512,13559000,1623933461560304160,262144,768
1,retained,growth,whitefoot,4,64,512,16385000,1623933461560304160,262144,768
1,retained,growth,legacy-c,5,64,512,13370000,6078742265198322272,262144,768
1,retained,growth,whitefoot,5,64,512,16482000,6078742265198322272,262144,768
1,retained,growth,matched-c,5,64,512,11167000,6078742265198322272,262144,768
1,retained,growth,whitefoot,6,64,512,16485000,10533551068836340384,262144,768
1,retained,growth,matched-c,6,64,512,11179000,10533551068836340384,262144,768
1,retained,growth,legacy-c,6,64,512,13601000,10533551068836340384,262144,768
1,retained,growth,matched-c,7,64,512,11299000,14988359872474358496,262144,768
1,retained,growth,legacy-c,7,64,512,14003000,14988359872474358496,262144,768
1,retained,growth,whitefoot,7,64,512,16494000,14988359872474358496,262144,768
1,retained,growth,legacy-c,8,64,512,13444000,996424602402824992,262144,768
1,retained,growth,whitefoot,8,64,512,16406000,996424602402824992,262144,768
1,retained,growth,matched-c,8,64,512,11246000,996424602402824992,262144,768
1,retained,growth,whitefoot,9,64,512,16285000,5451233406040843104,262144,768
1,retained,growth,matched-c,9,64,512,11346000,5451233406040843104,262144,768
1,retained,growth,legacy-c,9,64,512,13665000,5451233406040843104,262144,768
1,retained,growth,matched-c,10,64,512,11296000,9906042209678861216,262144,768
1,retained,growth,legacy-c,10,64,512,13482000,9906042209678861216,262144,768
1,retained,growth,whitefoot,10,64,512,16342000,9906042209678861216,262144,768
1,retained,growth,legacy-c,11,64,512,13532000,14360851013316879328,262144,768
1,retained,growth,whitefoot,11,64,512,16264000,14360851013316879328,262144,768
1,retained,growth,matched-c,11,64,512,11327000,14360851013316879328,262144,768
1,retained,growth,whitefoot,12,64,512,16392000,368915743245345824,262144,768
1,retained,growth,matched-c,12,64,512,11394000,368915743245345824,262144,768
1,retained,growth,legacy-c,12,64,512,13553000,368915743245345824,262144,768
1,retained,growth,matched-c,13,64,512,11299000,4823724546883363936,262144,768
1,retained,growth,legacy-c,13,64,512,13514000,4823724546883363936,262144,768
1,retained,growth,whitefoot,13,64,512,16699000,4823724546883363936,262144,768
1,retained,growth,legacy-c,14,64,512,14050000,9278533350521382048,262144,768
1,retained,growth,whitefoot,14,64,512,16569000,9278533350521382048,262144,768
1,retained,growth,matched-c,14,64,512,11632000,9278533350521382048,262144,768
1,normal,reserved,whitefoot,0,64,512,9088000,2251442320717783328,98304,768
1,normal,reserved,matched-c,0,64,512,5845000,2251442320717783328,98304,768
1,normal,reserved,legacy-c,0,64,512,5813000,2251442320717783328,98304,768
1,normal,reserved,matched-c,1,64,512,5750000,6706251124355801440,98304,768
1,normal,reserved,legacy-c,1,64,512,5806000,6706251124355801440,98304,768
1,normal,reserved,whitefoot,1,64,512,8903000,6706251124355801440,98304,768
1,normal,reserved,legacy-c,2,64,512,5860000,11161059927993819552,98304,768
1,normal,reserved,whitefoot,2,64,512,8821000,11161059927993819552,98304,768
1,normal,reserved,matched-c,2,64,512,5773000,11161059927993819552,98304,768
1,normal,reserved,whitefoot,3,64,512,8914000,15615868731631837664,98304,768
1,normal,reserved,matched-c,3,64,512,6140000,15615868731631837664,98304,768
1,normal,reserved,legacy-c,3,64,512,6041000,15615868731631837664,98304,768
1,normal,reserved,matched-c,4,64,512,5741000,1623933461560304160,98304,768
1,normal,reserved,legacy-c,4,64,512,5826000,1623933461560304160,98304,768
1,normal,reserved,whitefoot,4,64,512,8953000,1623933461560304160,98304,768
1,normal,reserved,legacy-c,5,64,512,5702000,6078742265198322272,98304,768
1,normal,reserved,whitefoot,5,64,512,8829000,6078742265198322272,98304,768
1,normal,reserved,matched-c,5,64,512,5807000,6078742265198322272,98304,768
1,normal,reserved,whitefoot,6,64,512,8833000,10533551068836340384,98304,768
1,normal,reserved,matched-c,6,64,512,5898000,10533551068836340384,98304,768
1,normal,reserved,legacy-c,6,64,512,5888000,10533551068836340384,98304,768
1,normal,reserved,matched-c,7,64,512,5864000,14988359872474358496,98304,768
1,normal,reserved,legacy-c,7,64,512,5789000,14988359872474358496,98304,768
1,normal,reserved,whitefoot,7,64,512,8812000,14988359872474358496,98304,768
1,normal,reserved,legacy-c,8,64,512,5914000,996424602402824992,98304,768
1,normal,reserved,whitefoot,8,64,512,8754000,996424602402824992,98304,768
1,normal,reserved,matched-c,8,64,512,5889000,996424602402824992,98304,768
1,normal,reserved,whitefoot,9,64,512,8871000,5451233406040843104,98304,768
1,normal,reserved,matched-c,9,64,512,5725000,5451233406040843104,98304,768
1,normal,reserved,legacy-c,9,64,512,5787000,5451233406040843104,98304,768
1,normal,reserved,matched-c,10,64,512,5750000,9906042209678861216,98304,768
1,normal,reserved,legacy-c,10,64,512,5860000,9906042209678861216,98304,768
1,normal,reserved,whitefoot,10,64,512,9018000,9906042209678861216,98304,768
1,normal,reserved,legacy-c,11,64,512,5855000,14360851013316879328,98304,768
1,normal,reserved,whitefoot,11,64,512,8863000,14360851013316879328,98304,768
1,normal,reserved,matched-c,11,64,512,5717000,14360851013316879328,98304,768
1,normal,reserved,whitefoot,12,64,512,8834000,368915743245345824,98304,768
1,normal,reserved,matched-c,12,64,512,5766000,368915743245345824,98304,768
1,normal,reserved,legacy-c,12,64,512,5800000,368915743245345824,98304,768
1,normal,reserved,matched-c,13,64,512,5751000,4823724546883363936,98304,768
1,normal,reserved,legacy-c,13,64,512,5785000,4823724546883363936,98304,768
1,normal,reserved,whitefoot,13,64,512,8925000,4823724546883363936,98304,768
1,normal,reserved,legacy-c,14,64,512,5830000,9278533350521382048,98304,768
1,normal,reserved,whitefoot,14,64,512,8754000,9278533350521382048,98304,768
1,normal,reserved,matched-c,14,64,512,5784000,9278533350521382048,98304,768
1,normal,growth,whitefoot,0,64,512,14131000,2251442320717783328,262144,768
1,normal,growth,matched-c,0,64,512,9100000,2251442320717783328,262144,768
1,normal,growth,legacy-c,0,64,512,9306000,2251442320717783328,262144,768
1,normal,growth,matched-c,1,64,512,9125000,6706251124355801440,262144,768
1,normal,growth,legacy-c,1,64,512,9236000,6706251124355801440,262144,768
1,normal,growth,whitefoot,1,64,512,13208000,6706251124355801440,262144,768
1,normal,growth,legacy-c,2,64,512,9153000,11161059927993819552,262144,768
1,normal,growth,whitefoot,2,64,512,13247000,11161059927993819552,262144,768
1,normal,growth,matched-c,2,64,512,9176000,11161059927993819552,262144,768
1,normal,growth,whitefoot,3,64,512,13128000,15615868731631837664,262144,768
1,normal,growth,matched-c,3,64,512,9221000,15615868731631837664,262144,768
1,normal,growth,legacy-c,3,64,512,9222000,15615868731631837664,262144,768
1,normal,growth,matched-c,4,64,512,9100000,1623933461560304160,262144,768
1,normal,growth,legacy-c,4,64,512,9131000,1623933461560304160,262144,768
1,normal,growth,whitefoot,4,64,512,13074000,1623933461560304160,262144,768
1,normal,growth,legacy-c,5,64,512,9247000,6078742265198322272,262144,768
1,normal,growth,whitefoot,5,64,512,13368000,6078742265198322272,262144,768
1,normal,growth,matched-c,5,64,512,9318000,6078742265198322272,262144,768
1,normal,growth,whitefoot,6,64,512,13150000,10533551068836340384,262144,768
1,normal,growth,matched-c,6,64,512,9204000,10533551068836340384,262144,768
1,normal,growth,legacy-c,6,64,512,9153000,10533551068836340384,262144,768
1,normal,growth,matched-c,7,64,512,9151000,14988359872474358496,262144,768
1,normal,growth,legacy-c,7,64,512,9178000,14988359872474358496,262144,768
1,normal,growth,whitefoot,7,64,512,13258000,14988359872474358496,262144,768
1,normal,growth,legacy-c,8,64,512,9271000,996424602402824992,262144,768
1,normal,growth,whitefoot,8,64,512,13121000,996424602402824992,262144,768
1,normal,growth,matched-c,8,64,512,9121000,996424602402824992,262144,768
1,normal,growth,whitefoot,9,64,512,13105000,5451233406040843104,262144,768
1,normal,growth,matched-c,9,64,512,9308000,5451233406040843104,262144,768
1,normal,growth,legacy-c,9,64,512,9215000,5451233406040843104,262144,768
1,normal,growth,matched-c,10,64,512,9070000,9906042209678861216,262144,768
1,normal,growth,legacy-c,10,64,512,9116000,9906042209678861216,262144,768
