run,comparison,cohort,arm,image,contract,pair_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_nodes,peak_bytes
initial,aa,0,a,baseline,normal,16,hit-miss,4096,avl-c,3,2,1,489000,14542621158675777415,4096,163840,4096,163840
initial,aa,0,a,baseline,normal,16,hit-miss,4096,direct-c,3,2,1,845000,14542621158675777415,365,137240,365,137240
initial,aa,0,a,baseline,normal,16,hit-miss,4096,source-c,3,2,1,1024000,14542621158675777415,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,hit-miss,4096,whitefoot,3,2,1,943000,14542621158675777415,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,hit-miss,4096,whitefoot,4,2,1,924000,3411412128828879223,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,hit-miss,4096,source-c,4,2,1,1027000,3411412128828879223,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,hit-miss,4096,direct-c,4,2,1,841000,3411412128828879223,365,137240,365,137240
initial,aa,0,a,baseline,normal,16,hit-miss,4096,avl-c,4,2,1,512000,3411412128828879223,4096,163840,4096,163840
initial,aa,0,a,baseline,normal,16,hit-miss,4096,avl-c,5,2,1,489000,2911758924518004104,4096,163840,4096,163840
initial,aa,0,a,baseline,normal,16,hit-miss,4096,direct-c,5,2,1,836000,2911758924518004104,365,137240,365,137240
initial,aa,0,a,baseline,normal,16,hit-miss,4096,source-c,5,2,1,1015000,2911758924518004104,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,hit-miss,4096,whitefoot,5,2,1,941000,2911758924518004104,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,whitefoot,0,1024,1,272000,14151578214610147557,1,504,1,504
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,source-c,0,1024,1,284000,14151578214610147557,1,504,1,504
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,direct-c,0,1024,1,213000,14151578214610147557,1,376,1,376
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,avl-c,0,1024,1,355000,14151578214610147557,8200,328000,8,320
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,avl-c,1,1024,1,353000,17255007329733447000,8200,328000,8,320
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,direct-c,1,1024,1,211000,17255007329733447000,1,376,1,376
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,source-c,1,1024,1,283000,17255007329733447000,1,504,1,504
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,whitefoot,1,1024,1,264000,17255007329733447000,1,504,1,504
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,whitefoot,2,1024,1,271000,15347459984823657788,1,504,1,504
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,source-c,2,1024,1,281000,15347459984823657788,1,504,1,504
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,direct-c,2,1024,1,211000,15347459984823657788,1,376,1,376
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,avl-c,2,1024,1,360000,15347459984823657788,8200,328000,8,320
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,avl-c,3,1024,1,373000,2893900076149919541,8200,328000,8,320
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,direct-c,3,1024,1,213000,2893900076149919541,1,376,1,376
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,source-c,3,1024,1,291000,2893900076149919541,1,504,1,504
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,whitefoot,3,1024,1,278000,2893900076149919541,1,504,1,504
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,whitefoot,4,1024,1,278000,5867564153249226782,1,504,1,504
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,source-c,4,1024,1,290000,5867564153249226782,1,504,1,504
initial,aa,0,a,baseline,normal,16,replace-edit-remove-insert,8,direct-c,4,1024,1,219000,5867564153249226782,1,376,1,376
