bundle	round	compiler	seconds	exit	llvm_sha256	sources_identical
tests/programs/compute/stencil.wf	3	candidate	0.129446	0	97d8d93fbac1f6973b0754e1712d8ef8ae17fdc91b1d9285ef7191881d5dbd0f	True
tests/programs/compute/stencil.wf	3	base	0.135903	0	97d8d93fbac1f6973b0754e1712d8ef8ae17fdc91b1d9285ef7191881d5dbd0f	True
tests/programs/compute/stencil.wf	4	base	0.130349	0	97d8d93fbac1f6973b0754e1712d8ef8ae17fdc91b1d9285ef7191881d5dbd0f	True
tests/programs/compute/stencil.wf	4	candidate	0.135244	0	97d8d93fbac1f6973b0754e1712d8ef8ae17fdc91b1d9285ef7191881d5dbd0f	True
tests/programs/containers/boxed-helper-gap.wf	0	base	0.034926	0	d248a5214ae9b71c2a850e5e9c77d0bb3286b470620054b2b7f7533fd31ad467	True
tests/programs/containers/boxed-helper-gap.wf	0	candidate	0.032472	0	d248a5214ae9b71c2a850e5e9c77d0bb3286b470620054b2b7f7533fd31ad467	True
tests/programs/containers/boxed-helper-gap.wf	1	candidate	0.034353	0	d248a5214ae9b71c2a850e5e9c77d0bb3286b470620054b2b7f7533fd31ad467	True
tests/programs/containers/boxed-helper-gap.wf	1	base	0.033930	0	d248a5214ae9b71c2a850e5e9c77d0bb3286b470620054b2b7f7533fd31ad467	True
tests/programs/containers/boxed-helper-gap.wf	2	base	0.034010	0	d248a5214ae9b71c2a850e5e9c77d0bb3286b470620054b2b7f7533fd31ad467	True
tests/programs/containers/boxed-helper-gap.wf	2	candidate	0.033145	0	d248a5214ae9b71c2a850e5e9c77d0bb3286b470620054b2b7f7533fd31ad467	True
tests/programs/containers/boxed-helper-gap.wf	3	candidate	0.032086	0	d248a5214ae9b71c2a850e5e9c77d0bb3286b470620054b2b7f7533fd31ad467	True
tests/programs/containers/boxed-helper-gap.wf	3	base	0.033742	0	d248a5214ae9b71c2a850e5e9c77d0bb3286b470620054b2b7f7533fd31ad467	True
tests/programs/containers/boxed-helper-gap.wf	4	base	0.034113	0	d248a5214ae9b71c2a850e5e9c77d0bb3286b470620054b2b7f7533fd31ad467	True
tests/programs/containers/boxed-helper-gap.wf	4	candidate	0.032730	0	d248a5214ae9b71c2a850e5e9c77d0bb3286b470620054b2b7f7533fd31ad467	True
tests/programs/containers/dense.wf	0	base	0.055585	0	ef4973c3a1b8c8d3f1f38eadac076dc2fce3e5a00311dc182fd77a8a9e0a37b9	True
tests/programs/containers/dense.wf	0	candidate	0.051976	0	ef4973c3a1b8c8d3f1f38eadac076dc2fce3e5a00311dc182fd77a8a9e0a37b9	True
tests/programs/containers/dense.wf	1	candidate	0.058787	0	ef4973c3a1b8c8d3f1f38eadac076dc2fce3e5a00311dc182fd77a8a9e0a37b9	True
tests/programs/containers/dense.wf	1	base	0.054843	0	ef4973c3a1b8c8d3f1f38eadac076dc2fce3e5a00311dc182fd77a8a9e0a37b9	True
tests/programs/containers/dense.wf	2	base	0.054209	0	ef4973c3a1b8c8d3f1f38eadac076dc2fce3e5a00311dc182fd77a8a9e0a37b9	True
tests/programs/containers/dense.wf	2	candidate	0.055662	0	ef4973c3a1b8c8d3f1f38eadac076dc2fce3e5a00311dc182fd77a8a9e0a37b9	True
tests/programs/containers/dense.wf	3	candidate	0.054140	0	ef4973c3a1b8c8d3f1f38eadac076dc2fce3e5a00311dc182fd77a8a9e0a37b9	True
tests/programs/containers/dense.wf	3	base	0.087435	0	ef4973c3a1b8c8d3f1f38eadac076dc2fce3e5a00311dc182fd77a8a9e0a37b9	True
tests/programs/containers/dense.wf	4	base	0.052818	0	ef4973c3a1b8c8d3f1f38eadac076dc2fce3e5a00311dc182fd77a8a9e0a37b9	True
tests/programs/containers/dense.wf	4	candidate	0.054820	0	ef4973c3a1b8c8d3f1f38eadac076dc2fce3e5a00311dc182fd77a8a9e0a37b9	True
tests/programs/containers/hashmap.wf	0	base	0.059691	0	6ac473835c624ddace722598f8501e21febe3f46e03e2419af15746e776786f8	True
tests/programs/containers/hashmap.wf	0	candidate	0.062808	0	6ac473835c624ddace722598f8501e21febe3f46e03e2419af15746e776786f8	True
tests/programs/containers/hashmap.wf	1	candidate	0.061592	0	6ac473835c624ddace722598f8501e21febe3f46e03e2419af15746e776786f8	True
tests/programs/containers/hashmap.wf	1	base	0.060890	0	6ac473835c624ddace722598f8501e21febe3f46e03e2419af15746e776786f8	True
tests/programs/containers/hashmap.wf	2	base	0.060903	0	6ac473835c624ddace722598f8501e21febe3f46e03e2419af15746e776786f8	True
tests/programs/containers/hashmap.wf	2	candidate	0.064513	0	6ac473835c624ddace722598f8501e21febe3f46e03e2419af15746e776786f8	True
tests/programs/containers/hashmap.wf	3	candidate	0.062441	0	6ac473835c624ddace722598f8501e21febe3f46e03e2419af15746e776786f8	True
tests/programs/containers/hashmap.wf	3	base	0.063071	0	6ac473835c624ddace722598f8501e21febe3f46e03e2419af15746e776786f8	True
